abacavir	abdominal pain
abacavir	acute respiratory distress syndrome
abacavir	arthralgia
abacavir	autoimmune disorder
abacavir	basedow's disease
abacavir	blood creatine phosphokinase increased
abacavir	blood creatinine increased
abacavir	conjunctivitis
abacavir	cough
abacavir	decreased appetite
abacavir	diarrhoea
abacavir	dyspnoea
abacavir	erythema multiforme
abacavir	fatigue
abacavir	headache
abacavir	hepatic failure
abacavir	hepatitis
abacavir	hypersensitivity
abacavir	hypotension
abacavir	lactic acidosis
abacavir	lethargy
abacavir	lymphadenopathy
abacavir	lymphopenia
abacavir	malaise
abacavir	mouth ulceration
abacavir	myalgia
abacavir	nausea
abacavir	oedema
abacavir	oropharyngeal pain
abacavir	pancreatitis
abacavir	paraesthesia
abacavir	rash
abacavir	renal failure
abacavir	respiratory failure
abacavir	rhabdomyolysis
abacavir	stevens-johnson syndrome
abacavir	toxic epidermal necrolysis
abacavir	urticaria
abacavir	vomiting
abiraterone	alanine aminotransferase increased
abiraterone	arrhythmia
abiraterone	aspartate aminotransferase increased
abiraterone	cardiac failure
abiraterone	dyspepsia
abiraterone	fluid retention
abiraterone	fracture
abiraterone	haematuria
abiraterone	hepatotoxicity
abiraterone	hypertension
abiraterone	hypertriglyceridaemia
abiraterone	hypokalaemia
abiraterone	myocardial infarction
abiraterone	rash
abiraterone	urinary tract infection
aclidinium	cough
aclidinium	diarrhoea
aclidinium	dry mouth
aclidinium	dysphonia
aclidinium	headache
aclidinium	nasopharyngitis
aclidinium	sinusitis
aclidinium	tachycardia
aclidinium	urinary retention
aclidinium	vision blurred
afatinib	acne pustular
afatinib	alanine aminotransferase increased
afatinib	aspartate aminotransferase increased
afatinib	cheilitis
afatinib	conjunctivitis
afatinib	cystitis
afatinib	decreased appetite
afatinib	dehydration
afatinib	dermatitis acneiform
afatinib	diarrhoea
afatinib	dry eye
afatinib	dry skin
afatinib	dysgeusia
afatinib	dyspepsia
afatinib	epistaxis
afatinib	hypokalaemia
afatinib	interstitial lung disease
afatinib	keratitis
afatinib	mouth ulceration
afatinib	mucosal erosion
afatinib	mucosal inflammation
afatinib	mucosal ulceration
afatinib	muscle spasms
afatinib	nail bed infection
afatinib	nail infection
afatinib	nausea
afatinib	oral mucosa erosion
afatinib	paronychia
afatinib	pruritus
afatinib	pruritus generalised
afatinib	rash
afatinib	renal failure
afatinib	renal impairment
afatinib	rhinorrhoea
afatinib	skin fissures
afatinib	stomatitis
afatinib	vomiting
afatinib	weight decreased
agomelatine	abdominal pain
agomelatine	abnormal dreams
agomelatine	aggression
agomelatine	agitation
agomelatine	angioedema
agomelatine	anxiety
agomelatine	back pain
agomelatine	blood alkaline phosphatase increased
agomelatine	constipation
agomelatine	diarrhoea
agomelatine	dizziness
agomelatine	eczema
agomelatine	face oedema
agomelatine	fatigue
agomelatine	hallucination
agomelatine	headache
agomelatine	hepatic failure
agomelatine	hepatitis
agomelatine	hyperhidrosis
agomelatine	hypomania
agomelatine	insomnia
agomelatine	irritability
agomelatine	jaundice
agomelatine	mania
agomelatine	migraine
agomelatine	nausea
agomelatine	nightmare
agomelatine	paraesthesia
agomelatine	pruritus
agomelatine	rash erythematous
agomelatine	restless legs syndrome
agomelatine	somnolence
agomelatine	suicidal ideation
agomelatine	tinnitus
agomelatine	urticaria
agomelatine	vision blurred
agomelatine	vomiting
agomelatine	weight decreased
agomelatine	weight increased
aliskiren	angioedema
aliskiren	arthralgia
aliskiren	blood creatinine increased
aliskiren	blood potassium increased
aliskiren	cough
aliskiren	diarrhoea
aliskiren	dizziness
aliskiren	erythema
aliskiren	haematocrit decreased
aliskiren	haemoglobin decreased
aliskiren	headache
aliskiren	hepatic failure
aliskiren	hepatitis
aliskiren	hyperkalaemia
aliskiren	hypersensitivity
aliskiren	hypotension
aliskiren	jaundice
aliskiren	liver disorder
aliskiren	nausea
aliskiren	oedema peripheral
aliskiren	palpitations
aliskiren	pruritus
aliskiren	rash
aliskiren	renal impairment
aliskiren	stevens-johnson syndrome
aliskiren	swelling face
aliskiren	toxic epidermal necrolysis
aliskiren	upper respiratory tract infection
aliskiren	urticaria
aliskiren	vertigo
alogliptin	angioedema
alogliptin	erythema multiforme
alogliptin	headache
alogliptin	hypersensitivity
alogliptin	nasopharyngitis
alogliptin	pancreatitis acute
alogliptin	rash
alogliptin	stevens-johnson syndrome
alogliptin	upper respiratory tract infection
alogliptin	urticaria
ambrisentan	abdominal pain
ambrisentan	anaemia
ambrisentan	angioedema
ambrisentan	asthenia
ambrisentan	autoimmune hepatitis
ambrisentan	cardiac failure
ambrisentan	chest discomfort
ambrisentan	chest pain
ambrisentan	constipation
ambrisentan	diarrhoea
ambrisentan	dizziness
ambrisentan	dyspnoea
ambrisentan	epistaxis
ambrisentan	fatigue
ambrisentan	fluid retention
ambrisentan	flushing
ambrisentan	haematocrit decreased
ambrisentan	haemoglobin decreased
ambrisentan	headache
ambrisentan	hypersensitivity
ambrisentan	hypotension
ambrisentan	liver injury
ambrisentan	migraine
ambrisentan	nasal congestion
ambrisentan	nasopharyngitis
ambrisentan	nausea
ambrisentan	oedema peripheral
ambrisentan	palpitations
ambrisentan	pruritus
ambrisentan	rash
ambrisentan	rhinitis
ambrisentan	sinus headache
ambrisentan	sinusitis
ambrisentan	syncope
ambrisentan	transaminases increased
ambrisentan	vomiting
anagrelide	abdominal pain
anagrelide	alopecia
anagrelide	alveolitis allergic
anagrelide	amnesia
anagrelide	anaemia
anagrelide	angina pectoris
anagrelide	arrhythmia
anagrelide	arthralgia
anagrelide	asthenia
anagrelide	atrial fibrillation
anagrelide	back pain
anagrelide	blood creatinine increased
anagrelide	cardiac failure congestive
anagrelide	cardiomegaly
anagrelide	cardiomyopathy
anagrelide	chest pain
anagrelide	chills
anagrelide	colitis
anagrelide	confusional state
anagrelide	constipation
anagrelide	coordination abnormal
anagrelide	decreased appetite
anagrelide	depression
anagrelide	diarrhoea
anagrelide	diplopia
anagrelide	dizziness
anagrelide	dry mouth
anagrelide	dry skin
anagrelide	dysarthria
anagrelide	dyspepsia
anagrelide	dyspnoea
anagrelide	ecchymosis
anagrelide	epistaxis
anagrelide	erectile dysfunction
anagrelide	fatigue
anagrelide	flatulence
anagrelide	fluid retention
anagrelide	gastritis
anagrelide	gastrointestinal disorder
anagrelide	gastrointestinal haemorrhage
anagrelide	gingival bleeding
anagrelide	haemorrhage
anagrelide	headache
anagrelide	hepatic enzyme increased
anagrelide	hepatitis
anagrelide	hypertension
anagrelide	hypoaesthesia
anagrelide	influenza like illness
anagrelide	insomnia
anagrelide	interstitial lung disease
anagrelide	lung infiltration
anagrelide	malaise
anagrelide	migraine
anagrelide	myalgia
anagrelide	myocardial infarction
anagrelide	nausea
anagrelide	nervousness
anagrelide	nocturia
anagrelide	oedema
anagrelide	orthostatic hypotension
anagrelide	pain
anagrelide	palpitations
anagrelide	pancreatitis
anagrelide	pancytopenia
anagrelide	paraesthesia
anagrelide	pericardial effusion
anagrelide	pleural effusion
anagrelide	pneumonia
anagrelide	pruritus
anagrelide	pulmonary hypertension
anagrelide	rash
anagrelide	renal failure
anagrelide	skin discolouration
anagrelide	somnolence
anagrelide	supraventricular tachycardia
anagrelide	syncope
anagrelide	tachycardia
anagrelide	thrombocytopenia
anagrelide	tinnitus
anagrelide	torsade de pointes
anagrelide	tubulointerstitial nephritis
anagrelide	ventricular tachycardia
anagrelide	visual impairment
anagrelide	vomiting
anagrelide	weight decreased
anagrelide	weight increased
anidulafungin	abdominal pain upper
anidulafungin	alanine aminotransferase increased
anidulafungin	anaphylactic shock
anidulafungin	aspartate aminotransferase increased
anidulafungin	blood alkaline phosphatase increased
anidulafungin	blood bilirubin increased
anidulafungin	blood creatinine increased
anidulafungin	bronchospasm
anidulafungin	cholestasis
anidulafungin	coagulopathy
anidulafungin	diarrhoea
anidulafungin	dyspnoea
anidulafungin	flushing
anidulafungin	gamma-glutamyltransferase increased
anidulafungin	headache
anidulafungin	hot flush
anidulafungin	hyperglycaemia
anidulafungin	hypertension
anidulafungin	hypokalaemia
anidulafungin	hypotension
anidulafungin	infusion related reaction
anidulafungin	infusion site pain
anidulafungin	nausea
anidulafungin	pruritus
anidulafungin	rash
anidulafungin	urticaria
anidulafungin	vomiting
apixaban	allergic oedema
apixaban	anaemia
